Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arson,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Violent crime,1,1.0,0.0,1.0,0.0,3.0,0.0,2.0,4.0,0.0,1.0
Murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aggravated assault,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,4.0,0.0,1.0
Robbery,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Burglary,6.0,13.0,7.0,9.0,15.0,7.0,8.0,13.0,13.0,15.0,11.0
Motor vehicle theft theft,0.0,2.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,1.0
Larceny-theft,53.0,34.0,44.0,38.0,59.0,52.0,47.0,32.0,27.0,48.0,26.0
Rape,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Property crime,59.0,49.0,51.0,48.0,75.0,59.0,59.0,45.0,41.0,64.0,38.0
