Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
larceny,175.0,218.0,212.0,263.0,325.0,453.0,335.0,286.0,307.0,340.0,256.0
assault,13.0,13.0,7.0,8.0,14.0,10.0,11.0,17.0,8.0,12.0,18.0
murder,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
arson,2.0,2.0,0.0,1.0,3.0,2.0,1.0,5.0,1.0,1.0,4.0
robbery,3.0,4.0,1.0,6.0,1.0,5.0,1.0,5.0,7.0,4.0,2.0
mv-theft,17.0,22.0,21.0,17.0,13.0,13.0,24.0,13.0,13.0,10.0,13.0
burglary,45.0,69.0,73.0,64.0,18.0,8.0,4.0,9.0,6.0,2.0,3.0
property,237.0,309.0,306.0,344.0,356.0,474.0,363.0,308.0,326.0,352.0,272.0
violent-crimes,21,21.0,12.0,18.0,18.0,18.0,21.0,27.0,17.0,20.0,29.0
rape,4.0,3.0,4.0,3.0,3.0,3.0,9.0,5.0,2.0,4.0,8.0
