City,Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006_hist,2007_hist,2008_hist,2009_hist,2010_hist,2011_hist,2012_hist,2013_hist,2014_hist,Unnamed: 32,2006_new,2007_new,2008_new,2009_new,2010_new,2011_new,2012_new,2013_new,2014_new,2015,2016,2006_diff,2006_diff_pct,2006,2007_diff,2007_diff_pct,2007,2008_diff,2008_diff_pct,2008,2009_diff,2009_diff_pct,2009,2010_diff,2010_diff_pct,2010,2011_diff,2011_diff_pct,2011,2012_diff,2012_diff_pct,2012,2013_diff,2013_diff_pct,2013,2014_diff,2014_diff_pct,2014
Ansonia,Ansonia Police Dept,CT,33.0,13.0,33.0,32.0,37.0,38.0,17.0,11.0,14.0,20.0,16.0,21.0,19.0,21.0,12.0,13.0,12.0,17.0,10.0,13.0,8.0,6.0,21.0,12.0,22.0,18.0,17.0,15.0,16.0,18.0,,6.0,21.0,12.0,22.0,18.0,17.0,15.0,16.0,18.0,12.0,10.0,0.0,0.0,6.0,0.0,0.0,21.0,0.0,0.0,12.0,0.0,0.0,22.0,0.0,0.0,18.0,0.0,0.0,17.0,0.0,0.0,15.0,0.0,0.0,16.0,0.0,0.0,18.0
Avon,Avon Police Dept,CT,2.0,2.0,0.0,3.0,3.0,1.0,3.0,0.0,3.0,1.0,0.0,5.0,4.0,1.0,3.0,3.0,1.0,2.0,5.0,2.0,3.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,3.0,0.0,,0.0,1.0,0.0,3.0,1.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,,0.0
Berlin,Berlin Police Dept,CT,1.0,1.0,3.0,1.0,2.0,4.0,7.0,7.0,7.0,4.0,2.0,1.0,1.0,6.0,5.0,3.0,7.0,4.0,4.0,6.0,7.0,10.0,5.0,9.0,5.0,2.0,6.0,5.0,4.0,1.0,,10.0,4.0,9.0,5.0,2.0,6.0,5.0,4.0,1.0,7.0,7.0,0.0,0.0,10.0,-1.0,-0.2,,0.0,0.0,9.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,1.0
Bethel,Bethel Police Dept,CT,1.0,5.0,3.0,2.0,1.0,2.0,1.0,0.0,3.0,2.0,5.0,5.0,3.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,0.0,0.0,,3.0,1.0,3.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,,0.0,0.0,,0.0
Bloomfield,Bloomfield Police Dept,CT,28.0,31.0,27.0,26.0,11.0,21.0,24.0,14.0,23.0,28.0,31.0,27.0,25.0,8.0,15.0,17.0,15.0,21.0,24.0,20.0,22.0,9.0,15.0,13.0,13.0,15.0,8.0,8.0,10.0,12.0,,,13.0,12.0,12.0,9.0,8.0,8.0,10.0,12.0,6.0,11.0,,,,-2.0,-0.133333333333,,-1.0,-0.0769230769231,,-1.0,-0.0769230769231,,-6.0,-0.4,,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,10.0,0.0,0.0,12.0
Branford,Branford Police Dept,CT,9.0,3.0,5.0,9.0,8.0,9.0,10.0,8.0,7.0,3.0,2.0,12.0,11.0,12.0,10.0,9.0,16.0,10.0,17.0,17.0,12.0,12.0,9.0,9.0,9.0,6.0,11.0,10.0,3.0,8.0,,,9.0,9.0,9.0,6.0,11.0,10.0,3.0,8.0,5.0,5.0,,,,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,6.0,0.0,0.0,11.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,8.0
Bridgeport,Bridgeport Police Dept,CT,1273.0,1043.0,983.0,1046.0,1562.0,1770.0,1734.0,1835.0,1560.0,947.0,840.0,948.0,888.0,776.0,725.0,589.0,608.0,555.0,439.0,541.0,648.0,659.0,675.0,737.0,680.0,561.0,610.0,606.0,584.0,546.0,,659.0,675.0,737.0,680.0,561.0,610.0,606.0,584.0,546.0,441.0,441.0,0.0,0.0,659.0,0.0,0.0,675.0,0.0,0.0,737.0,0.0,0.0,680.0,0.0,0.0,561.0,0.0,0.0,610.0,0.0,0.0,606.0,0.0,0.0,584.0,0.0,0.0,546.0
Bristol,Bristol Police Dept,CT,15.0,22.0,19.0,36.0,27.0,44.0,58.0,39.0,49.0,42.0,50.0,39.0,41.0,25.0,19.0,41.0,40.0,43.0,66.0,55.0,52.0,58.0,65.0,51.0,32.0,32.0,52.0,51.0,45.0,35.0,,58.0,65.0,51.0,32.0,32.0,52.0,51.0,45.0,35.0,40.0,23.0,0.0,0.0,58.0,0.0,0.0,65.0,0.0,0.0,51.0,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0,52.0,0.0,0.0,51.0,0.0,0.0,45.0,0.0,0.0,35.0
Brookfield,Brookfield Police Dept,CT,2.0,2.0,2.0,3.0,3.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,4.0,2.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,5.0,0.0,0.0,2.0,,,2.0,4.0,2.0,2.0,5.0,0.0,0.0,2.0,1.0,1.0,,,,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0
Canton,Canton Town Police Dept,CT,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.0,,0.0,-1.0,-1.0,,0.0,0.0,1.0
Cheshire,Cheshire Police Dept,CT,5.0,4.0,3.0,1.0,6.0,5.0,6.0,2.0,4.0,4.0,2.0,1.0,2.0,3.0,4.0,1.0,0.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,4.0,1.0,3.0,,3.0,2.0,2.0,1.0,2.0,3.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,1.0,-1.0,-0.333333333333,
Clinton,Clinton Police Dept,CT,2.0,5.0,5.0,1.0,3.0,4.0,0.0,1.0,4.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,0.0,,,3.0,2.0,3.0,2.0,2.0,3.0,2.0,0.0,4.0,1.0,,,,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,,0.0
Coventry,Coventry Police Dept,CT,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,0.0,2.0,0.0,,,0.0,0.0,1.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,,,,-1.0,-1.0,,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,,0.0,0.0,0.0,2.0,0.0,,0.0
Cromwell,Cromwell Police Dept,CT,10.0,12.0,1.0,8.0,8.0,7.0,7.0,5.0,10.0,9.0,9.0,8.0,12.0,7.0,4.0,3.0,6.0,3.0,5.0,9.0,8.0,9.0,10.0,3.0,6.0,12.0,4.0,6.0,8.0,1.0,,,10.0,3.0,6.0,12.0,4.0,6.0,8.0,1.0,4.0,4.0,,,,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,8.0,0.0,0.0,1.0
