Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
larceny,159.0,162.0,164.0,111.0,97.0,120.0,85.0,65.0,160.0,174.0,187.0
assault,44.0,2.0,3.0,10.0,0.0,4.0,1.0,2.0,1.0,1.0,1.0
murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arson,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
robbery,3.0,1.0,4.0,4.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0
mv-theft,5.0,13.0,6.0,2.0,6.0,9.0,1.0,2.0,7.0,17.0,16.0
burglary,21.0,31.0,37.0,17.0,39.0,21.0,13.0,13.0,24.0,31.0,39.0
property,185.0,206.0,207.0,130.0,142.0,150.0,99.0,80.0,191.0,222.0,242.0
violent-crimes,47,3.0,7.0,14.0,1.0,6.0,2.0,2.0,5.0,3.0,1.0
rape,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
