Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arson,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
Violent crime,8,6.0,17.0,7.0,4.0,6.0,3.0,1.0,3.0,3.0,2.0
Murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aggravated assault,6.0,2.0,13.0,4.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0
Robbery,1.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0
Burglary,32.0,36.0,42.0,47.0,34.0,37.0,41.0,25.0,37.0,24.0,16.0
Motor vehicle theft theft,14.0,29.0,7.0,7.0,6.0,6.0,3.0,9.0,9.0,6.0,3.0
Larceny-theft,108.0,125.0,135.0,109.0,92.0,138.0,115.0,123.0,111.0,83.0,63.0
Rape,1.0,2.0,1.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0
Property crime,154.0,190.0,184.0,163.0,132.0,181.0,159.0,157.0,157.0,113.0,82.0
