Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
larceny,315.0,303.0,229.0,263.0,258.0,238.0,258.0,201.0,210.0,300.0,
assault,8.0,17.0,13.0,11.0,17.0,14.0,10.0,12.0,4.0,8.0,
murder,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
arson,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,
robbery,7.0,4.0,4.0,9.0,11.0,5.0,9.0,5.0,5.0,8.0,
mv-theft,7.0,20.0,6.0,8.0,6.0,12.0,13.0,7.0,7.0,12.0,
burglary,77.0,81.0,73.0,84.0,85.0,73.0,55.0,66.0,80.0,34.0,
property,399.0,404.0,308.0,355.0,349.0,323.0,326.0,274.0,297.0,346.0,
violent-crimes,16,23.0,21.0,23.0,29.0,21.0,22.0,17.0,10.0,16.0,
rape,1.0,2.0,3.0,3.0,1.0,2.0,3.0,0.0,1.0,0.0,
