Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arson,1.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Violent crime,6,4.0,2.0,5.0,4.0,4.0,6.0,4.0,7.0,5.0,5.0
Murder,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Aggravated assault,2.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0
Robbery,2.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,4.0,3.0,4.0
Burglary,52.0,58.0,47.0,41.0,55.0,56.0,78.0,43.0,44.0,29.0,65.0
Motor vehicle theft theft,20.0,16.0,23.0,20.0,8.0,17.0,14.0,34.0,18.0,27.0,38.0
Larceny-theft,138.0,238.0,188.0,202.0,206.0,230.0,226.0,220.0,245.0,178.0,185.0
Rape,2.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0
Property crime,210.0,312.0,258.0,263.0,269.0,303.0,318.0,297.0,307.0,234.0,288.0
