Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arson,,4.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,1.0,1.0
Violent crime,,21.0,33.0,30.0,30.0,31.0,30.0,33.0,27.0,34.0,37.0
Murder,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aggravated assault,,13.0,13.0,9.0,12.0,9.0,12.0,10.0,13.0,10.0,16.0
Robbery,,5.0,9.0,11.0,9.0,11.0,11.0,13.0,10.0,13.0,13.0
Burglary,,80.0,74.0,69.0,75.0,71.0,92.0,200.0,77.0,61.0,86.0
Motor vehicle theft theft,,50.0,37.0,29.0,45.0,37.0,42.0,60.0,33.0,25.0,46.0
Larceny-theft,,491.0,494.0,463.0,503.0,498.0,498.0,507.0,507.0,466.0,413.0
Rape,,2.0,10.0,9.0,9.0,11.0,7.0,10.0,4.0,11.0,8.0
Property crime,,621.0,605.0,561.0,623.0,606.0,632.0,767.0,617.0,552.0,545.0
