Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
mv-theft,173.0,137.0,120.0,98.0,,,97.0,77.0,77.0,87.0,132.0
assault,16.0,44.0,29.0,33.0,,,278.0,245.0,164.0,130.0,151.0
murder,1.0,1.0,0.0,0.0,,,2.0,0.0,1.0,3.0,1.0
arson,5.0,4.0,2.0,2.0,,,2.0,1.0,0.0,3.0,1.0
robbery,67.0,63.0,73.0,54.0,,,39.0,62.0,56.0,46.0,35.0
burglary,183.0,192.0,165.0,123.0,,,196.0,234.0,257.0,223.0,211.0
property,1727.0,1396.0,1477.0,1162.0,,,1382.0,1358.0,1355.0,1332.0,1507.0
violent-crimes,97,121.0,107.0,97.0,,,322.0,319.0,231.0,189.0,195.0
rape,13.0,13.0,5.0,10.0,,,3.0,12.0,10.0,10.0,8.0
larceny-theft,1371.0,1067.0,1192.0,941.0,,,1089.0,1047.0,1021.0,1022.0,1164.0
