Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arson,2.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
Violent crime,5,6.0,4.0,3.0,6.0,6.0,7.0,6.0,6.0,3.0,7.0
Murder,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Aggravated assault,1.0,3.0,1.0,2.0,2.0,3.0,4.0,2.0,3.0,1.0,2.0
Robbery,4.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0
Burglary,16.0,31.0,31.0,36.0,20.0,20.0,25.0,24.0,33.0,12.0,42.0
Motor vehicle theft theft,4.0,24.0,5.0,9.0,6.0,5.0,4.0,6.0,11.0,10.0,8.0
Larceny-theft,123.0,186.0,191.0,156.0,154.0,156.0,147.0,128.0,109.0,109.0,116.0
Rape,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0
Property crime,143.0,241.0,227.0,201.0,180.0,181.0,176.0,158.0,153.0,131.0,166.0
