City,Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006_hist,2007_hist,2008_hist,2009_hist,2010_hist,2011_hist,2012_hist,2013_hist,2014_hist,Unnamed: 32,2006_new,2007_new,2008_new,2009_new,2010_new,2011_new,2012_new,2013_new,2014_new,2015,2016,2006_diff,2006_diff_pct,2006,2007_diff,2007_diff_pct,2007,2008_diff,2008_diff_pct,2008,2009_diff,2009_diff_pct,2009,2010_diff,2010_diff_pct,2010,2011_diff,2011_diff_pct,2011,2012_diff,2012_diff_pct,2012,2013_diff,2013_diff_pct,2013,2014_diff,2014_diff_pct,2014
Ansonia,Ansonia Police Dept,CT,108.0,146.0,118.0,211.0,190.0,116.0,90.0,91.0,86.0,96.0,50.0,104.0,116.0,71.0,49.0,45.0,56.0,60.0,40.0,45.0,62.0,52.0,38.0,44.0,36.0,36.0,44.0,80.0,59.0,62.0,,52.0,38.0,43.0,36.0,36.0,44.0,80.0,59.0,62.0,47.0,45.0,0.0,0.0,52.0,0.0,0.0,38.0,-1.0,-0.0227272727273,,0.0,0.0,36.0,0.0,0.0,36.0,0.0,0.0,44.0,0.0,0.0,80.0,0.0,0.0,59.0,0.0,0.0,62.0
Avon,Avon Police Dept,CT,90.0,65.0,52.0,64.0,87.0,70.0,89.0,61.0,40.0,53.0,56.0,66.0,46.0,41.0,40.0,25.0,22.0,26.0,37.0,25.0,20.0,30.0,11.0,7.0,28.0,38.0,28.0,25.0,20.0,20.0,,30.0,11.0,7.0,28.0,38.0,28.0,25.0,20.0,20.0,14.0,4.0,0.0,0.0,30.0,0.0,0.0,11.0,0.0,0.0,7.0,0.0,0.0,28.0,0.0,0.0,38.0,0.0,0.0,28.0,0.0,0.0,25.0,0.0,0.0,20.0,0.0,0.0,20.0
Berlin,Berlin Police Dept,CT,75.0,80.0,84.0,101.0,75.0,103.0,89.0,61.0,78.0,71.0,81.0,80.0,48.0,53.0,54.0,47.0,62.0,85.0,65.0,88.0,47.0,88.0,91.0,82.0,62.0,68.0,80.0,55.0,42.0,60.0,,88.0,89.0,82.0,62.0,69.0,80.0,55.0,41.0,57.0,59.0,38.0,0.0,0.0,88.0,-2.0,-0.021978021978,,0.0,0.0,82.0,0.0,0.0,62.0,1.0,0.0147058823529,,0.0,0.0,80.0,0.0,0.0,55.0,-1.0,-0.0238095238095,,-3.0,-0.05,
Bethel,Bethel Police Dept,CT,69.0,57.0,46.0,76.0,87.0,52.0,73.0,60.0,46.0,68.0,53.0,63.0,30.0,46.0,27.0,38.0,37.0,44.0,44.0,23.0,22.0,24.0,22.0,31.0,36.0,31.0,47.0,48.0,31.0,22.0,,22.0,22.0,30.0,36.0,31.0,47.0,48.0,31.0,22.0,26.0,26.0,-2.0,-0.0833333333333,,0.0,0.0,22.0,-1.0,-0.0322580645161,,0.0,0.0,36.0,0.0,0.0,31.0,0.0,0.0,47.0,0.0,0.0,48.0,0.0,0.0,31.0,0.0,0.0,22.0
Bloomfield,Bloomfield Police Dept,CT,231.0,241.0,260.0,237.0,197.0,172.0,281.0,223.0,175.0,146.0,175.0,123.0,79.0,84.0,90.0,84.0,61.0,54.0,73.0,76.0,76.0,75.0,87.0,79.0,108.0,86.0,83.0,69.0,52.0,90.0,,,82.0,77.0,101.0,76.0,83.0,69.0,51.0,79.0,66.0,54.0,,,,-5.0,-0.0574712643678,,-2.0,-0.0253164556962,,-7.0,-0.0648148148148,,-10.0,-0.116279069767,,0.0,0.0,83.0,0.0,0.0,69.0,-1.0,-0.0192307692308,,-11.0,-0.122222222222,
Branford,Branford Police Dept,CT,99.0,111.0,76.0,126.0,92.0,72.0,88.0,85.0,68.0,58.0,66.0,87.0,83.0,74.0,79.0,71.0,69.0,61.0,78.0,66.0,49.0,64.0,99.0,77.0,82.0,101.0,81.0,56.0,55.0,55.0,,,98.0,77.0,82.0,101.0,81.0,56.0,55.0,54.0,36.0,32.0,,,,-1.0,-0.010101010101,,0.0,0.0,77.0,0.0,0.0,82.0,0.0,0.0,101.0,0.0,0.0,81.0,0.0,0.0,56.0,0.0,0.0,55.0,-1.0,-0.0181818181818,
Bridgeport,Bridgeport Police Dept,CT,3309.0,3313.0,3760.0,3622.0,4207.0,4628.0,3954.0,4081.0,3653.0,2420.0,2338.0,2479.0,2691.0,1827.0,1885.0,1626.0,1266.0,1401.0,1243.0,1209.0,1383.0,1362.0,1201.0,1269.0,1276.0,1448.0,1540.0,1377.0,1191.0,1129.0,,1362.0,1201.0,1269.0,1276.0,1448.0,1540.0,1377.0,1191.0,1129.0,817.0,667.0,0.0,0.0,1362.0,0.0,0.0,1201.0,0.0,0.0,1269.0,0.0,0.0,1276.0,0.0,0.0,1448.0,0.0,0.0,1540.0,0.0,0.0,1377.0,0.0,0.0,1191.0,0.0,0.0,1129.0
Bristol,Bristol Police Dept,CT,402.0,505.0,613.0,466.0,573.0,686.0,748.0,647.0,483.0,438.0,447.0,453.0,371.0,364.0,295.0,314.0,340.0,292.0,333.0,394.0,425.0,466.0,402.0,348.0,250.0,290.0,365.0,355.0,310.0,335.0,,466.0,402.0,348.0,250.0,290.0,365.0,355.0,310.0,335.0,218.0,183.0,0.0,0.0,466.0,0.0,0.0,402.0,0.0,0.0,348.0,0.0,0.0,250.0,0.0,0.0,290.0,0.0,0.0,365.0,0.0,0.0,355.0,0.0,0.0,310.0,0.0,0.0,335.0
Brookfield,Brookfield Police Dept,CT,73.0,76.0,59.0,85.0,102.0,64.0,62.0,75.0,58.0,62.0,54.0,41.0,56.0,31.0,26.0,38.0,10.0,31.0,26.0,22.0,21.0,30.0,34.0,27.0,25.0,38.0,34.0,36.0,16.0,19.0,,,34.0,27.0,24.0,39.0,34.0,36.0,16.0,19.0,20.0,22.0,,,,0.0,0.0,34.0,0.0,0.0,27.0,-1.0,-0.04,,1.0,0.0263157894737,,0.0,0.0,34.0,0.0,0.0,36.0,0.0,0.0,16.0,0.0,0.0,19.0
Canton,Canton Town Police Dept,CT,47.0,39.0,41.0,46.0,33.0,47.0,42.0,34.0,35.0,37.0,40.0,43.0,39.0,26.0,21.0,17.0,21.0,32.0,28.0,26.0,18.0,17.0,23.0,16.0,8.0,14.0,21.0,7.0,17.0,12.0,,17.0,23.0,16.0,8.0,14.0,21.0,7.0,15.0,11.0,5.0,4.0,0.0,0.0,17.0,0.0,0.0,23.0,0.0,0.0,16.0,0.0,0.0,8.0,0.0,0.0,14.0,0.0,0.0,21.0,0.0,0.0,7.0,-2.0,-0.117647058824,,-1.0,-0.0833333333333,
Cheshire,Cheshire Police Dept,CT,150.0,128.0,102.0,144.0,163.0,122.0,126.0,105.0,123.0,135.0,116.0,119.0,98.0,79.0,65.0,72.0,74.0,80.0,64.0,74.0,40.0,43.0,63.0,49.0,59.0,63.0,71.0,48.0,27.0,41.0,,41.0,62.0,50.0,59.0,62.0,71.0,48.0,28.0,40.0,18.0,29.0,-2.0,-0.046511627907,,-1.0,-0.015873015873,,1.0,0.0204081632653,,0.0,0.0,59.0,-1.0,-0.015873015873,,0.0,0.0,71.0,0.0,0.0,48.0,1.0,0.037037037037,,-1.0,-0.0243902439024,
Clinton,Clinton Police Dept,CT,70.0,92.0,85.0,81.0,112.0,86.0,81.0,99.0,78.0,76.0,71.0,66.0,56.0,28.0,20.0,16.0,20.0,65.0,51.0,35.0,42.0,40.0,29.0,15.0,51.0,134.0,54.0,53.0,58.0,51.0,,,29.0,16.0,51.0,134.0,54.0,53.0,58.0,51.0,39.0,26.0,,,,0.0,0.0,29.0,1.0,0.0666666666667,,0.0,0.0,51.0,0.0,0.0,134.0,0.0,0.0,54.0,0.0,0.0,53.0,0.0,0.0,58.0,0.0,0.0,51.0
Coventry,Coventry Police Dept,CT,56.0,55.0,72.0,47.0,53.0,40.0,49.0,22.0,63.0,32.0,42.0,43.0,24.0,36.0,22.0,28.0,42.0,27.0,40.0,25.0,37.0,43.0,54.0,33.0,56.0,45.0,67.0,67.0,39.0,36.0,,,54.0,33.0,56.0,45.0,67.0,67.0,39.0,36.0,27.0,21.0,,,,0.0,0.0,54.0,0.0,0.0,33.0,0.0,0.0,56.0,0.0,0.0,45.0,0.0,0.0,67.0,0.0,0.0,67.0,0.0,0.0,39.0,0.0,0.0,36.0
Cromwell,Cromwell Police Dept,CT,89.0,57.0,55.0,68.0,60.0,75.0,44.0,32.0,60.0,38.0,49.0,47.0,22.0,31.0,40.0,28.0,61.0,35.0,42.0,49.0,31.0,33.0,42.0,29.0,50.0,48.0,28.0,44.0,16.0,27.0,,,42.0,29.0,50.0,48.0,28.0,44.0,16.0,26.0,12.0,18.0,,,,0.0,0.0,42.0,0.0,0.0,29.0,0.0,0.0,50.0,0.0,0.0,48.0,0.0,0.0,28.0,0.0,0.0,44.0,0.0,0.0,16.0,-1.0,-0.037037037037,
Danbury,Danbury Police Dept,CT,637.0,534.0,582.0,700.0,702.0,613.0,598.0,697.0,546.0,676.0,521.0,515.0,399.0,361.0,265.0,254.0,344.0,281.0,213.0,287.0,223.0,257.0,275.0,275.0,219.0,258.0,343.0,287.0,221.0,231.0,,257.0,275.0,275.0,219.0,258.0,343.0,287.0,221.0,230.0,178.0,168.0,0.0,0.0,257.0,0.0,0.0,275.0,0.0,0.0,275.0,0.0,0.0,219.0,0.0,0.0,258.0,0.0,0.0,343.0,0.0,0.0,287.0,0.0,0.0,221.0,-1.0,-0.004329004329,
Darien,Darien Police Dept,CT,111.0,146.0,138.0,103.0,72.0,123.0,92.0,81.0,63.0,50.0,57.0,59.0,80.0,48.0,55.0,52.0,39.0,25.0,35.0,34.0,32.0,21.0,31.0,37.0,17.0,13.0,21.0,13.0,13.0,24.0,,21.0,31.0,37.0,17.0,39.0,21.0,13.0,13.0,24.0,31.0,39.0,0.0,0.0,21.0,0.0,0.0,31.0,0.0,0.0,37.0,0.0,0.0,17.0,26.0,2.0,,0.0,0.0,21.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,24.0
Derby,Derby Police Dept,CT,111.0,149.0,107.0,115.0,154.0,153.0,128.0,98.0,121.0,160.0,136.0,134.0,136.0,92.0,127.0,77.0,87.0,90.0,49.0,91.0,65.0,58.0,101.0,63.0,105.0,66.0,75.0,92.0,50.0,72.0,,,100.0,61.0,105.0,69.0,75.0,92.0,51.0,72.0,65.0,65.0,,,,-1.0,-0.00990099009901,,-2.0,-0.031746031746,,0.0,0.0,105.0,3.0,0.0454545454545,,0.0,0.0,75.0,0.0,0.0,92.0,1.0,0.02,,0.0,0.0,72.0
East Hampton,East Hampton Police Dept,CT,43.0,33.0,44.0,35.0,53.0,49.0,37.0,22.0,53.0,42.0,41.0,32.0,31.0,20.0,22.0,17.0,11.0,12.0,17.0,13.0,20.0,20.0,26.0,39.0,24.0,54.0,42.0,34.0,43.0,14.0,,20.0,26.0,39.0,24.0,54.0,42.0,34.0,43.0,14.0,18.0,10.0,0.0,0.0,20.0,0.0,0.0,26.0,0.0,0.0,39.0,0.0,0.0,24.0,0.0,0.0,54.0,0.0,0.0,42.0,0.0,0.0,34.0,0.0,0.0,43.0,0.0,0.0,14.0
East Hartford,East Hartford Police,CT,837.0,703.0,,619.0,600.0,604.0,539.0,458.0,415.0,421.0,417.0,478.0,413.0,373.0,308.0,357.0,285.0,289.0,299.0,312.0,236.0,290.0,350.0,361.0,331.0,345.0,325.0,362.0,327.0,281.0,,286.0,349.0,361.0,328.0,345.0,325.0,362.0,327.0,283.0,196.0,247.0,-4.0,-0.0137931034483,,-1.0,-0.00285714285714,,0.0,0.0,361.0,-3.0,-0.00906344410876,,0.0,0.0,345.0,0.0,0.0,325.0,0.0,0.0,362.0,0.0,0.0,327.0,2.0,0.00711743772242,
