Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
larceny,147.0,150.0,132.0,121.0,100.0,93.0,114.0,106.0,100.0,124.0,102.0,97.0
assault,2.0,0.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,2.0,1.0
murder,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
arson,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robbery,0.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
mv-theft,7.0,3.0,3.0,15.0,2.0,0.0,2.0,5.0,1.0,1.0,5.0,15.0
burglary,35.0,29.0,15.0,16.0,32.0,14.0,14.0,12.0,29.0,19.0,24.0,16.0
property,189.0,182.0,150.0,152.0,134.0,107.0,130.0,123.0,130.0,144.0,131.0,128.0
violent-crimes,3,3.0,4.0,3.0,1.0,4.0,6.0,4.0,1.0,2.0,3.0,2.0
rape,1.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,
