Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
larceny,51.0,48.0,63.0,53.0,58.0,44.0,30.0,24.0,27.0,20.0,14.0,32.0
assault,1.0,1.0,1.0,2.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,4.0
murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arson,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
robbery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mv-theft,1.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0
burglary,8.0,4.0,8.0,6.0,7.0,9.0,11.0,13.0,6.0,3.0,1.0,1.0
property,60.0,52.0,72.0,61.0,68.0,54.0,41.0,37.0,33.0,24.0,15.0,37.0
violent-crimes,1,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,4.0
rape,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,
