Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
larceny,235.0,220.0,187.0,194.0,,143.0,152.0,98.0,144.0,104.0,114.0
assault,0.0,1.0,3.0,4.0,,5.0,9.0,5.0,12.0,11.0,1.0
murder,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0
arson,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0
robbery,4.0,0.0,1.0,2.0,,1.0,0.0,0.0,0.0,0.0,0.0
mv-theft,9.0,1.0,6.0,9.0,,5.0,3.0,3.0,2.0,2.0,1.0
burglary,25.0,16.0,24.0,25.0,,21.0,7.0,11.0,8.0,3.0,2.0
property,269.0,237.0,217.0,228.0,,169.0,162.0,112.0,154.0,109.0,117.0
violent-crimes,4,1.0,4.0,6.0,,8.0,9.0,7.0,12.0,12.0,1.0
rape,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0
