Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arson,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0
Violent crime,37,37.0,58.0,51.0,48.0,52.0,45.0,41.0,65.0,56.0,40.0
Murder,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Aggravated assault,24.0,26.0,48.0,38.0,39.0,50.0,38.0,35.0,46.0,40.0,24.0
Robbery,10.0,7.0,6.0,10.0,5.0,1.0,6.0,6.0,10.0,8.0,7.0
Burglary,45.0,54.0,50.0,51.0,57.0,46.0,55.0,72.0,37.0,29.0,41.0
Motor vehicle theft theft,14.0,16.0,14.0,9.0,4.0,5.0,9.0,7.0,4.0,14.0,20.0
Larceny-theft,453.0,487.0,432.0,542.0,435.0,434.0,451.0,421.0,389.0,360.0,377.0
Rape,3.0,4.0,4.0,3.0,4.0,1.0,0.0,0.0,9.0,8.0,9.0
Property crime,512.0,557.0,496.0,602.0,496.0,485.0,515.0,500.0,430.0,403.0,438.0
