City,Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006_hist,2007_hist,2008_hist,2009_hist,2010_hist,2011_hist,2012_hist,2013_hist,2014_hist,Unnamed: 32,2006_new,2007_new,2008_new,2009_new,2010_new,2011_new,2012_new,2013_new,2014_new,2015,2016,2006_diff,2006_diff_pct,2006,2007_diff,2007_diff_pct,2007,2008_diff,2008_diff_pct,2008,2009_diff,2009_diff_pct,2009,2010_diff,2010_diff_pct,2010,2011_diff,2011_diff_pct,2011,2012_diff,2012_diff_pct,2012,2013_diff,2013_diff_pct,2013,2014_diff,2014_diff_pct,2014
Ansonia,Ansonia Police Dept,CT,425.0,460.0,435.0,629.0,556.0,604.0,573.0,479.0,531.0,483.0,385.0,474.0,613.0,414.0,366.0,252.0,323.0,442.0,363.0,395.0,418.0,386.0,381.0,349.0,354.0,327.0,354.0,455.0,393.0,373.0,,383.0,376.0,347.0,352.0,324.0,354.0,455.0,393.0,372.0,350.0,331.0,-3.0,-0.00777202072539,,-5.0,-0.0131233595801,,-2.0,-0.00573065902579,,-2.0,-0.00564971751412,,-3.0,-0.00917431192661,,0.0,0.0,354.0,0.0,0.0,455.0,0.0,0.0,393.0,-1.0,-0.00268096514745,
Avon,Avon Police Dept,CT,315.0,316.0,276.0,330.0,305.0,301.0,378.0,277.0,249.0,217.0,268.0,245.0,251.0,277.0,207.0,176.0,150.0,193.0,198.0,169.0,184.0,208.0,190.0,135.0,172.0,186.0,179.0,169.0,143.0,171.0,,208.0,190.0,135.0,172.0,186.0,179.0,169.0,143.0,170.0,147.0,131.0,0.0,0.0,208.0,0.0,0.0,190.0,0.0,0.0,135.0,0.0,0.0,172.0,0.0,0.0,186.0,0.0,0.0,179.0,0.0,0.0,169.0,0.0,0.0,143.0,-1.0,-0.00584795321637,
Berlin,Berlin Police Dept,CT,320.0,361.0,364.0,340.0,336.0,361.0,382.0,331.0,416.0,456.0,418.0,416.0,392.0,388.0,360.0,370.0,461.0,465.0,362.0,396.0,408.0,422.0,424.0,478.0,307.0,342.0,379.0,309.0,281.0,306.0,,421.0,410.0,479.0,306.0,340.0,379.0,309.0,277.0,298.0,321.0,323.0,-1.0,-0.00236966824645,,-14.0,-0.0330188679245,,1.0,0.00209205020921,,-1.0,-0.00325732899023,,-2.0,-0.00584795321637,,0.0,0.0,379.0,0.0,0.0,309.0,-4.0,-0.0142348754448,,-8.0,-0.0261437908497,
Bethel,Bethel Police Dept,CT,253.0,217.0,235.0,279.0,262.0,251.0,318.0,256.0,205.0,220.0,166.0,268.0,171.0,150.0,190.0,162.0,147.0,176.0,185.0,126.0,144.0,144.0,111.0,172.0,215.0,195.0,306.0,321.0,180.0,164.0,,121.0,108.0,167.0,214.0,195.0,306.0,321.0,180.0,164.0,169.0,162.0,-23.0,-0.159722222222,,-3.0,-0.027027027027,,-5.0,-0.0290697674419,,-1.0,-0.0046511627907,,0.0,0.0,195.0,0.0,0.0,306.0,0.0,0.0,321.0,0.0,0.0,180.0,0.0,0.0,164.0
Bloomfield,Bloomfield Police Dept,CT,1173.0,1000.0,1127.0,960.0,840.0,916.0,1022.0,989.0,798.0,794.0,834.0,659.0,570.0,532.0,467.0,619.0,588.0,597.0,551.0,545.0,590.0,616.0,609.0,556.0,525.0,546.0,455.0,505.0,485.0,514.0,,,577.0,553.0,499.0,490.0,455.0,505.0,464.0,503.0,505.0,515.0,,,,-32.0,-0.0525451559934,,-3.0,-0.00539568345324,,-26.0,-0.0495238095238,,-56.0,-0.102564102564,,0.0,0.0,455.0,0.0,0.0,505.0,-21.0,-0.0432989690722,,-11.0,-0.0214007782101,
Branford,Branford Police Dept,CT,520.0,659.0,630.0,716.0,634.0,611.0,689.0,556.0,476.0,498.0,540.0,669.0,891.0,938.0,843.0,762.0,895.0,867.0,860.0,772.0,735.0,727.0,784.0,807.0,674.0,807.0,749.0,675.0,635.0,664.0,,,780.0,806.0,671.0,804.0,749.0,675.0,634.0,661.0,691.0,543.0,,,,-4.0,-0.00510204081633,,-1.0,-0.00123915737299,,-3.0,-0.00445103857567,,-3.0,-0.00371747211896,,0.0,0.0,749.0,0.0,0.0,675.0,-1.0,-0.00157480314961,,-3.0,-0.00451807228916,
Bridgeport,Bridgeport Police Dept,CT,13614.0,12025.0,11411.0,12566.0,14770.0,14896.0,14528.0,13320.0,11059.0,8989.0,8801.0,8934.0,8955.0,7059.0,6465.0,6916.0,6252.0,6856.0,6401.0,6238.0,7118.0,6987.0,6577.0,6174.0,5615.0,4683.0,5607.0,5153.0,4464.0,4285.0,,6987.0,6577.0,6174.0,5615.0,4683.0,5607.0,5153.0,4464.0,4285.0,3496.0,3258.0,0.0,0.0,6987.0,0.0,0.0,6577.0,0.0,0.0,6174.0,0.0,0.0,5615.0,0.0,0.0,4683.0,0.0,0.0,5607.0,0.0,0.0,5153.0,0.0,0.0,4464.0,0.0,0.0,4285.0
Bristol,Bristol Police Dept,CT,1436.0,1530.0,1687.0,1565.0,1775.0,2082.0,2296.0,2327.0,1835.0,1870.0,1871.0,1739.0,1557.0,1399.0,1282.0,1494.0,1497.0,1629.0,1755.0,1667.0,1588.0,1692.0,1548.0,1462.0,1104.0,1335.0,1496.0,1590.0,1399.0,1507.0,,1692.0,1548.0,1462.0,1104.0,1335.0,1496.0,1590.0,1400.0,1513.0,1218.0,953.0,0.0,0.0,1692.0,0.0,0.0,1548.0,0.0,0.0,1462.0,0.0,0.0,1104.0,0.0,0.0,1335.0,0.0,0.0,1496.0,0.0,0.0,1590.0,1.0,0.000714796283059,,6.0,0.00398142003981,
Brookfield,Brookfield Police Dept,CT,350.0,286.0,241.0,331.0,350.0,312.0,353.0,325.0,350.0,275.0,245.0,242.0,214.0,174.0,164.0,185.0,145.0,203.0,178.0,169.0,136.0,168.0,171.0,165.0,168.0,142.0,200.0,191.0,162.0,162.0,,,170.0,167.0,168.0,142.0,200.0,191.0,162.0,162.0,137.0,126.0,,,,-1.0,-0.00584795321637,,2.0,0.0121212121212,,0.0,0.0,168.0,0.0,0.0,142.0,0.0,0.0,200.0,0.0,0.0,191.0,0.0,0.0,162.0,0.0,0.0,162.0
Canton,Canton Town Police Dept,CT,142.0,116.0,110.0,149.0,138.0,175.0,162.0,127.0,152.0,127.0,170.0,150.0,155.0,130.0,106.0,125.0,105.0,128.0,112.0,129.0,116.0,129.0,133.0,126.0,86.0,114.0,106.0,88.0,74.0,75.0,,129.0,133.0,126.0,86.0,114.0,106.0,88.0,72.0,72.0,49.0,120.0,0.0,0.0,129.0,0.0,0.0,133.0,0.0,0.0,126.0,0.0,0.0,86.0,0.0,0.0,114.0,0.0,0.0,106.0,0.0,0.0,88.0,-2.0,-0.027027027027,,-3.0,-0.04,
Cheshire,Cheshire Police Dept,CT,485.0,432.0,485.0,443.0,464.0,517.0,486.0,436.0,562.0,539.0,533.0,468.0,396.0,372.0,373.0,365.0,348.0,341.0,293.0,314.0,222.0,251.0,280.0,293.0,294.0,315.0,284.0,265.0,202.0,240.0,,247.0,271.0,293.0,293.0,303.0,284.0,265.0,204.0,240.0,189.0,244.0,-4.0,-0.0159362549801,,-9.0,-0.0321428571429,,0.0,0.0,293.0,-1.0,-0.00340136054422,,-12.0,-0.0380952380952,,0.0,0.0,284.0,0.0,0.0,265.0,2.0,0.00990099009901,,0.0,0.0,240.0
Clinton,Clinton Police Dept,CT,271.0,241.0,265.0,298.0,312.0,291.0,284.0,271.0,227.0,207.0,206.0,268.0,248.0,260.0,146.0,167.0,183.0,277.0,254.0,271.0,281.0,275.0,257.0,369.0,305.0,391.0,318.0,302.0,266.0,261.0,,,256.0,369.0,304.0,388.0,318.0,302.0,266.0,262.0,289.0,282.0,,,,-1.0,-0.00389105058366,,0.0,0.0,369.0,-1.0,-0.00327868852459,,-3.0,-0.0076726342711,,0.0,0.0,318.0,0.0,0.0,302.0,0.0,0.0,266.0,1.0,0.00383141762452,
Coventry,Coventry Police Dept,CT,169.0,158.0,188.0,137.0,197.0,210.0,158.0,159.0,224.0,163.0,177.0,131.0,121.0,132.0,135.0,111.0,183.0,101.0,137.0,134.0,146.0,150.0,156.0,143.0,165.0,167.0,191.0,170.0,147.0,135.0,,,156.0,137.0,161.0,165.0,191.0,170.0,146.0,133.0,92.0,127.0,,,,0.0,0.0,156.0,-6.0,-0.041958041958,,-4.0,-0.0242424242424,,-2.0,-0.0119760479042,,0.0,0.0,191.0,0.0,0.0,170.0,-1.0,-0.00680272108844,,-2.0,-0.0148148148148,
Cromwell,Cromwell Police Dept,CT,359.0,337.0,310.0,336.0,313.0,443.0,378.0,386.0,414.0,423.0,358.0,350.0,348.0,308.0,359.0,302.0,340.0,251.0,329.0,310.0,322.0,326.0,315.0,315.0,379.0,354.0,340.0,290.0,277.0,308.0,,,315.0,315.0,378.0,354.0,340.0,290.0,277.0,294.0,344.0,369.0,,,,0.0,0.0,315.0,0.0,0.0,315.0,-1.0,-0.00263852242744,,0.0,0.0,354.0,0.0,0.0,340.0,0.0,0.0,290.0,0.0,0.0,277.0,-14.0,-0.0454545454545,
Danbury,Danbury Police Dept,CT,2646.0,2453.0,2729.0,3060.0,3228.0,3190.0,3461.0,3402.0,3352.0,3409.0,3590.0,3397.0,2810.0,2211.0,2156.0,1950.0,1872.0,2045.0,1722.0,1858.0,1579.0,1601.0,1482.0,1626.0,1536.0,1515.0,1588.0,1562.0,1257.0,1355.0,,1601.0,1482.0,1626.0,1536.0,1515.0,1588.0,1562.0,1257.0,1352.0,1361.0,1363.0,0.0,0.0,1601.0,0.0,0.0,1482.0,0.0,0.0,1626.0,0.0,0.0,1536.0,0.0,0.0,1515.0,0.0,0.0,1588.0,0.0,0.0,1562.0,0.0,0.0,1257.0,-3.0,-0.00221402214022,
Darien,Darien Police Dept,CT,439.0,558.0,527.0,505.0,502.0,506.0,527.0,389.0,400.0,371.0,321.0,344.0,292.0,327.0,259.0,287.0,229.0,161.0,193.0,213.0,160.0,187.0,206.0,210.0,130.0,142.0,150.0,99.0,80.0,190.0,,185.0,206.0,207.0,130.0,142.0,150.0,99.0,80.0,191.0,222.0,242.0,-2.0,-0.0106951871658,,0.0,0.0,206.0,-3.0,-0.0142857142857,,0.0,0.0,130.0,0.0,0.0,142.0,0.0,0.0,150.0,0.0,0.0,99.0,0.0,0.0,80.0,1.0,0.00526315789474,
Derby,Derby Police Dept,CT,462.0,498.0,399.0,459.0,559.0,526.0,484.0,403.0,504.0,521.0,622.0,504.0,447.0,443.0,401.0,399.0,402.0,392.0,326.0,455.0,368.0,319.0,473.0,351.0,389.0,373.0,373.0,397.0,315.0,332.0,,,471.0,344.0,386.0,380.0,373.0,397.0,316.0,331.0,361.0,298.0,,,,-2.0,-0.00422832980973,,-7.0,-0.019943019943,,-3.0,-0.00771208226221,,7.0,0.0187667560322,,0.0,0.0,373.0,0.0,0.0,397.0,1.0,0.0031746031746,,-1.0,-0.00301204819277,
East Hampton,East Hampton Police Dept,CT,136.0,133.0,154.0,141.0,188.0,211.0,217.0,168.0,162.0,228.0,194.0,199.0,166.0,167.0,131.0,112.0,85.0,65.0,107.0,104.0,91.0,110.0,181.0,151.0,102.0,160.0,245.0,148.0,139.0,74.0,,110.0,181.0,151.0,102.0,160.0,245.0,148.0,139.0,71.0,87.0,107.0,0.0,0.0,110.0,0.0,0.0,181.0,0.0,0.0,151.0,0.0,0.0,102.0,0.0,0.0,160.0,0.0,0.0,245.0,0.0,0.0,148.0,0.0,0.0,139.0,-3.0,-0.0405405405405,
East Hartford,East Hartford Police,CT,3146.0,2946.0,,2644.0,2790.0,2721.0,2396.0,2211.0,2170.0,2477.0,2282.0,2063.0,1982.0,2155.0,1819.0,1993.0,1614.0,1661.0,1667.0,1829.0,1611.0,1767.0,1612.0,1612.0,1671.0,1546.0,1401.0,1573.0,1445.0,1222.0,,1757.0,1614.0,1611.0,1670.0,1545.0,1401.0,1573.0,1445.0,1220.0,1106.0,1312.0,-10.0,-0.00565930956423,,2.0,0.00124069478908,,-1.0,-0.000620347394541,,-1.0,-0.000598444045482,,-1.0,-0.000646830530401,,0.0,0.0,1401.0,0.0,0.0,1573.0,0.0,0.0,1445.0,-2.0,-0.00163666121113,
East Haven,East Haven Police Dept,CT,866.0,827.0,915.0,1132.0,1047.0,965.0,981.0,1605.0,1256.0,1122.0,1253.0,1081.0,863.0,836.0,615.0,659.0,762.0,792.0,638.0,593.0,691.0,672.0,765.0,818.0,724.0,954.0,835.0,875.0,755.0,719.0,,581.0,743.0,819.0,718.0,944.0,835.0,875.0,754.0,717.0,647.0,657.0,-91.0,-0.135416666667,,-22.0,-0.0287581699346,,1.0,0.00122249388753,,-6.0,-0.00828729281768,,-10.0,-0.0104821802935,,0.0,0.0,835.0,0.0,0.0,875.0,-1.0,-0.00132450331126,,-2.0,-0.00278164116829,
East Windsor,East Windsor Police Dept,CT,323.0,228.0,276.0,289.0,329.0,311.0,326.0,327.0,275.0,308.0,317.0,293.0,331.0,312.0,293.0,360.0,388.0,317.0,344.0,330.0,360.0,399.0,357.0,403.0,408.0,314.0,295.0,338.0,320.0,400.0,,399.0,357.0,400.0,406.0,309.0,295.0,338.0,317.0,400.0,319.0,197.0,0.0,0.0,399.0,0.0,0.0,357.0,-3.0,-0.00744416873449,,-2.0,-0.00490196078431,,-5.0,-0.015923566879,,0.0,0.0,295.0,0.0,0.0,338.0,-3.0,-0.009375,,0.0,0.0,400.0
Enfield,Enfield Police Dept,CT,1465.0,1724.0,1798.0,2000.0,2214.0,2022.0,1838.0,1408.0,1420.0,1693.0,1479.0,1315.0,1182.0,1041.0,1042.0,938.0,856.0,1128.0,1098.0,957.0,1044.0,1133.0,997.0,1030.0,932.0,915.0,,820.0,857.0,760.0,,42.0,28.0,29.0,62.0,35.0,23.0,40.0,30.0,30.0,24.0,40.0,-1091.0,-0.96293027361,,-969.0,-0.971915747242,,-1001.0,-0.971844660194,,-870.0,-0.93347639485,,-880.0,-0.96174863388,,,,,-780.0,-0.951219512195,,-827.0,-0.964994165694,,-730.0,-0.960526315789,
Fairfield,Fairfield Police Dept,CT,1766.0,1997.0,1817.0,2071.0,2148.0,2307.0,2234.0,1940.0,2064.0,1857.0,1802.0,1989.0,1965.0,1974.0,1538.0,1291.0,1252.0,1170.0,1326.0,1307.0,1248.0,1122.0,985.0,1084.0,1112.0,1047.0,1131.0,1301.0,1150.0,1170.0,,1133.0,997.0,1030.0,932.0,,,820.0,857.0,760.0,792.0,786.0,11.0,0.00980392156863,,12.0,0.0121827411168,,-54.0,-0.049815498155,,-180.0,-0.161870503597,,,,,,,,-481.0,-0.369715603382,,-293.0,-0.254782608696,,-410.0,-0.350427350427,
Farmington,Farmington Police Dept,CT,699.0,650.0,938.0,848.0,929.0,980.0,1036.0,920.0,840.0,740.0,708.0,701.0,695.0,844.0,910.0,731.0,739.0,553.0,690.0,717.0,614.0,663.0,631.0,681.0,690.0,698.0,623.0,629.0,659.0,654.0,,1110.0,983.0,1081.0,1110.0,1044.0,1131.0,1301.0,1148.0,1167.0,945.0,1002.0,447.0,0.674208144796,,352.0,0.557844690967,,400.0,0.587371512482,,420.0,0.608695652174,,346.0,0.495702005731,,508.0,0.815409309791,,672.0,1.06836248013,,489.0,0.742033383915,,513.0,0.784403669725,
Glastonbury,Glastonbury Police Dept,CT,737.0,743.0,654.0,654.0,658.0,619.0,601.0,507.0,532.0,525.0,624.0,549.0,507.0,507.0,466.0,464.0,409.0,406.0,401.0,437.0,372.0,400.0,398.0,309.0,357.0,349.0,323.0,326.0,276.0,298.0,,662.0,629.0,681.0,690.0,698.0,623.0,629.0,658.0,654.0,598.0,652.0,262.0,0.655,,231.0,0.58040201005,,372.0,1.20388349515,,333.0,0.932773109244,,349.0,1.0,,300.0,0.928792569659,,303.0,0.929447852761,,382.0,1.38405797101,,356.0,1.19463087248,
Granby,Granby Police Dept,CT,98.0,133.0,154.0,123.0,134.0,124.0,135.0,130.0,162.0,211.0,211.0,226.0,213.0,188.0,169.0,156.0,120.0,152.0,162.0,124.0,135.0,136.0,123.0,133.0,137.0,109.0,113.0,96.0,99.0,90.0,,399.0,404.0,308.0,355.0,349.0,323.0,326.0,274.0,297.0,346.0,,263.0,1.93382352941,,281.0,2.28455284553,,175.0,1.31578947368,,218.0,1.59124087591,,240.0,2.20183486239,,210.0,1.85840707965,,230.0,2.39583333333,,175.0,1.76767676768,,207.0,2.3,
Greenwich,Greenwich Police Dept,CT,1871.0,1709.0,2014.0,1603.0,1502.0,1680.0,1452.0,1567.0,1374.0,1314.0,1319.0,1110.0,1116.0,952.0,801.0,754.0,737.0,554.0,596.0,640.0,564.0,518.0,453.0,484.0,575.0,565.0,423.0,368.0,464.0,473.0,,133.0,123.0,133.0,137.0,109.0,113.0,96.0,98.0,90.0,80.0,77.0,-385.0,-0.743243243243,,-330.0,-0.728476821192,,-351.0,-0.72520661157,,-438.0,-0.761739130435,,-456.0,-0.807079646018,,-310.0,-0.732860520095,,-272.0,-0.739130434783,,-366.0,-0.788793103448,,-383.0,-0.809725158562,
Groton,Groton Town Police Dept,CT,1206.0,1231.0,1264.0,1336.0,1442.0,1395.0,1454.0,1157.0,1257.0,985.0,882.0,877.0,747.0,638.0,656.0,575.0,670.0,509.0,413.0,574.0,477.0,571.0,585.0,616.0,549.0,509.0,553.0,610.0,588.0,566.0,,514.0,446.0,481.0,514.0,553.0,423.0,368.0,459.0,469.0,403.0,403.0,-57.0,-0.0998248686515,,-139.0,-0.237606837607,,-135.0,-0.219155844156,,-35.0,-0.063752276867,,44.0,0.0864440078585,,-130.0,-0.235081374322,,-242.0,-0.396721311475,,-129.0,-0.219387755102,,-97.0,-0.171378091873,
Guilford,Guilford Police Dept,CT,508.0,616.0,567.0,592.0,507.0,566.0,606.0,540.0,534.0,434.0,440.0,461.0,359.0,441.0,404.0,360.0,337.0,383.0,363.0,346.0,326.0,320.0,351.0,379.0,372.0,435.0,347.0,293.0,253.0,339.0,,247.0,191.0,189.0,171.0,157.0,140.0,157.0,134.0,157.0,160.0,207.0,-73.0,-0.228125,,-160.0,-0.45584045584,,-190.0,-0.501319261214,,-201.0,-0.540322580645,,-278.0,-0.63908045977,,-207.0,-0.596541786744,,-136.0,-0.464163822526,,-119.0,-0.470355731225,,-182.0,-0.536873156342,
Hamden,Hamden Police Dept,CT,2238.0,2190.0,2424.0,2562.0,2710.0,2781.0,2899.0,2871.0,2116.0,2323.0,2620.0,2244.0,2207.0,2044.0,1813.0,1806.0,1506.0,1270.0,1284.0,1150.0,1281.0,1740.0,1397.0,1478.0,1180.0,825.0,115.0,1382.0,1359.0,1354.0,,4.0,11.0,8.0,7.0,7.0,12.0,14.0,3.0,1.0,11.0,4.0,-1736.0,-0.997701149425,,-1386.0,-0.992125984252,,-1470.0,-0.994587280108,,-1173.0,-0.99406779661,,-818.0,-0.991515151515,,-103.0,-0.895652173913,,-1368.0,-0.98986975398,,-1356.0,-0.997792494481,,-1353.0,-0.999261447563,
